职位id,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
inn_1rau8lvaq9kl,大数据开发实习生,150-250/天,元图互动,广州,互联网/游戏/软件,本科,5天／周,实习6个月,周末双休；包午晚餐；月度下午茶；员工生日会；全勤奖,"【岗位职责】
1、负责游戏日常数据的监控预警、整理分析工作，及时发现问题并推进解决；
2、负责分层用户行为和商业化数据的分析，挖掘产品潜力，提出合理执行建议；
3、对接产研和运营团队的数据服务需求，完善数据埋点，分析建模，产出数据报告；
4、参与业务BI建设，探索数据相关工具，搭建分析指标体系，提高数据分析效率。

【任职要求】
1、本科及以上学历，计算机、数学、统计等相关专业优先，可以长期实习（实习表现优秀可转正）；
2、熟练使用SQL语句、EXCEL，掌握Python等分析工具；
3、优秀的数据思维和数据决策意识，能够主动提出建设性意见并推进项目落地；
4、有强烈的好奇心和自驱力，良好的沟通能力，文档输出能力，融入快节奏的产品团队。", 中文,2025-11-30,广东省/广州市/天河区 方圆E时光东座1801,https://www.shixiseng.com/intern/inn_1rau8lvaq9kl?pcm=pc_SearchList
inn_9gahpl8ehizl,大数据开发实习生,200-300/天,搜狐,北京,互联网/游戏/软件,本科,4天／周,实习3个月,上市公司；大平台；团队氛围好,"职位描述：
1、协助开发基于 Spark、Flink 等框架的分布式数据处理任务，为 Doris 实时数仓与 Nebula Graph 图数据库提供核心数据支持；
2、基于 Doris 实时数仓与 Nebula Graph 图数据库，构建用户画像与行为分析体系，通过图计算技术挖掘隐藏关联，精准识别并防控薅羊毛、欺诈、虚假交易等灰产行为。

任职要求：
1、本科及以上学历在校生（2026年及以后毕业），计算机科学、软件工程等相关专业；
2、保证连续实习3个月以上时间，每周全职到岗不少于4天；
3、具备优秀的学习能力和实践动手能力，熟悉 SQL 编程，有 Hive、Python 等工具使用经验者优先；
4、熟悉 Java 开发，了解 MySQL、Redis、消息队列（Kafka/RabbitMQ 等）常用中间件；具备扎实的计算机基础，拥有实际 Java 项目开发经验者优先；
5、对大数据技术有浓厚兴趣，有大规模数据处理或大模型相关应用实践经历者优先考虑。", 中文,2026-11-22,科学院南路2号院3号楼搜狐媒体大厦,https://www.shixiseng.com/intern/inn_9gahpl8ehizl?pcm=pc_SearchList
inn_hpwvpvdu6z4q,大数据开发实习生,200-250/天,百度,北京,互联网/游戏/软件,本科,5天／周,实习3个月,周末双休,"工作职责：
-使用Flink进行实时数仓建设
-Spark，Hadoop等对搜索数据进行离线计算
-使用Python等编程语言进行数据处理和分析
-根据业务需求，完成相关的数据落仓以及业务指标计算

职责要求：
-计算机科学、统计学、数学等相关专业背景，本科及以上学历
-了解流式计算相关概念，熟练使用Flink进行实时数仓开发
-熟悉Hadoop、Spark、Hive、Hbase、Kafka等大数据技术
-熟悉数据仓库理论方法及ETL相关技术，对于数据的架构和设计有一定的思考，具备良好的数学思维和建模思维
-积极主动，善于团队合作，有良好的沟通能力和学习能力
-每周到岗至少4天，连续实习至少6个月", 中文,2025-12-31,北京市/北京市/海淀区 百度科技园K1,https://www.shixiseng.com/intern/inn_hpwvpvdu6z4q?pcm=pc_SearchList
inn_xeaitzrygaeu,大数据开发实习生,200-250/天,百度,深圳,互联网/游戏/软件,硕士,5天／周,实习3个月,餐补,"主要职责：
参与Lakehouse湖仓一体平台的建设、开发和维护。
负责或协助完成数据ETL流程的开发、优化与监控，保障数据处理的准确性和时效性。
使用 Spark、Flink、Hive、Ray 等主流大数据技术，处理海量数据，应对高并发、低延迟的业务挑战。
编写高质量的代码，进行数据提取、清洗、转换和改造。
协助进行数据任务的调度、线上任务运行维护和故障排查。
学习和探索新兴的大数据技术，并尝试应用于实际业务场景中。

任职要求：
我们希望你具备：
教育背景： 计算机科学、软件工程、数据科学、统计学或相关专业。

技术基础：
熟练掌握至少一门编程语言，如 Java、Scala 或 Python，具备良好的代码编写和优化能力。
至少了解一种大数据框架基本原理，如 hdfs、hive、iceberg、hbase、doris、clickhouse、paimon、spark、flink，具备良好的分布式框架技术认知。

核心能力：
对大数据领域技术有浓厚的兴趣和基本的了解。
具备优秀的学习能力和逻辑思维，对解决复杂技术问题充满好奇。
工作认真负责，具有良好的团队沟通和协作精神。

加分项（具备以下任何一项，将让你更具竞争力）：
有实际的大数据项目经验（课程项目、个人项目、竞赛或过往实习）。
熟悉AI数据平台或MLOps相关概念，对大数据与AI的结合应用感兴趣。", 中文,2025-12-31,广东省/深圳市/南山区 百度国际大厦,https://www.shixiseng.com/intern/inn_xeaitzrygaeu?pcm=pc_SearchList
inn_kbzieb4c2k6g,大数据开发实习生,400-500/天,得宸科技,上海,互联网/游戏/软件,本科,3天／周,实习12个月,可转正实习；不加班；远程实习；地铁周边；周末双休；不打卡；实习津贴,"大数据开发实习生

专业学历要求：
学历：本科及以上
专业：IT类相关专业

职位描述：
1、参与公司相关需求的开发，涉及到机器学习及大数据库相关开发
2、参与驻地需求的项目开发，涉及到算法相关开发以及JAVA开发
3、参与功能可行性分析、大数据架构设计以及详细设计；

任职要求：
1、有参加过建模大赛、算法大赛的优先考虑
2、有大数据开发经验优先考虑，熟练掌握Java/Scala编程语言；
3、深入理解分布式计算框架Hadoop、Spark、Flink、Hive、Kafka及相关生态系统；
4、熟练使用SQL，熟悉相关大数据存储技术（如mongodb、HBase、Kudu、Clickhouse）；
5、深入了解一种或多种 olap 引擎、熟悉 mpp 架构设计
6、在大数据开发和性能调优方面有实践经验；
7、熟悉机器学习相关的基本算法，比如K-means聚类、层次聚类、线性回归等常见算法
8、具备团队合作精神，有良好的沟通能力和解决问题的能力。

实习薪资：400元/天，可部分时间不来公司办公，按任务包方式进行结算，如去外地客户现场驻场，额外每天补贴150元/天", 中文,2025-11-21,上海市/上海市/浦东新区 晶耀前滩,https://www.shixiseng.com/intern/inn_kbzieb4c2k6g?pcm=pc_SearchList
inn_eid97cls1yxp,大数据开发实习生,300-400/天,哔哩哔哩,上海,互联网/游戏/软件,本科,4天／周,实习3个月,上市公司；五险一金,工作职责:岗位职责：1、愿意主动深入理解业务提供数据解决方案，积极主动沟通口径，设计合理的数据模型；2、遵守数据开发规范和流程，能基于大数据开发平台构建主题域数据的加工，分析，挖掘以及数据可视化；3、具备大规模数据故障诊断与性能优化能力，能制定并执行数据修复方案，保障数据质量；工作要求:岗位要求：1、熟练使用SparkSQL/HiveSQL，对Hadoop技术栈有一定了解；2、全日制在校本科生/研究生，26届及以后毕业，应用统计、数学、计算机相关专业优先；3、有python/Java编程基础的优先；4、学习能力强有责任心。, 中文 英文,2026-12-02,政立路489号国正中心1号楼,https://www.shixiseng.com/intern/inn_eid97cls1yxp?pcm=pc_SearchList
inn_s9lys97zexec,大数据开发实习生,200-400/天,途牛旅游网,南京,互联网/游戏/软件,硕士,5天／周,实习5个月,实习津贴；一对一导师,"1、负责大数据平台（如Hadoop、Spark、Flink、ClickHouse等）的架构设计、开发和优化。
2、构建高效的数据ETL流程，处理海量数据的清洗、存储、计算和分析。
3、开发和维护实时/离线数据仓库，支持业务数据分析和决策。
4、优化大数据计算任务，提升数据处理性能和资源利用率。
5、参与数据治理，确保数据质量、安全性和一致性。/6、与数据产品、算法、业务团队协作，提供数据技术支持。

岗位要求：
1、熟练掌握 Java/Python 至少一种编程语言。
2、熟悉 SQL，能编写高效查询（如Hive SQL、Spark SQL、ClickHouse SQL）。
3、了解 Hadoop（HDFS/YARN/MapReduce）、Spark（Spark SQL/Spark Streaming）、Flink 等计算引擎。
4、了解 Hive、HBase、Kafka、ClickHouse、Doris 等存储和消息队列技术。
熟悉 数据建模（维度建模、星型/雪花模型）。
熟悉 Linux 环境，能进行大数据集群的部署、监控和调优。", 中文,2026-01-15,江苏省/南京市/玄武区 徐庄软件园.聚慧园 玄武大道108号,https://www.shixiseng.com/intern/inn_s9lys97zexec?pcm=pc_SearchList
inn_kgzmvfaq0f0y,大数据开发实习生-飞书,200-400/天,字节跳动,深圳,互联网/游戏/软件,本科,4天／周,实习3个月,周末双休；不打卡；节日福利,"团队介绍：飞书是 AI 时代先进生产力平台，提供一站式工作协同、组织管理、业务提效工具和深入企业场景的 AI 能力，助力企业能增长，有巧降。
从互联网、高科技、消费零售，到制造、金融、医疗健康等，各行各业先进企业都在选择飞书，与飞书共创行业最佳实践。先进团队，先用飞书。

1、负责海量数据的处理，在分布式技术、存储平台基础上构建稳定、高效的数据链路，打造可视化数据产品；
2、负责数据建模以及数据仓库应用产品的设计和开发，完成离线、实时数据建设；
3、负责数据加工流程的优化，解决海量数据相关技术问题和性能优化。
职位要求
1、本科及以上学历在读，计算机相关专业；
2、对数据开发、分析、挖掘领域有兴趣和热情，有志于在大数据领域长期发展；
3、了解Hadoop生态系统，掌握SQL/Hive/Spark/Flink中的多项；
5、熟练掌握至少一种编程语言Python、Scala、Java、Go等；
6、实习时间：每周不少于4天，连续3个月以上。", 中文,2025-12-07,广东省/深圳市/南山区 深圳湾创新科技中心2栋B座,https://www.shixiseng.com/intern/inn_kgzmvfaq0f0y?pcm=pc_SearchList
inn_lqkvi7qr1c11,大数据开发工程师助理,200-300/天,华询教育,上海,教育/培训,本科,4天／周,实习3个月,地铁周边,"（一）工作内容：
1. 配合大模型调试和接口测试；
2. 数据采集、清洗；
3. 程序功能测试；
4. 相关技术文档编写；
5. 其他配合事宜等；
（二）有关专业和事项：1）.计算机相关专业优先，熟练java编程，熟练mysql等主流数据库，有开发实践经验。
2）一周工作4-5天（双休可灵活安排）

(三) 招聘要求
1. 组织观念、 自我控制与管理能力强，遵守工作纪律，工作态度积极，为人诚恳，进取心强。
2. 具有较强的执行力，较好的表达能力。", 中文,2026-05-29,上海市/上海市/静安区 东海广场涉外商务楼3号楼 ；,https://www.shixiseng.com/intern/inn_lqkvi7qr1c11?pcm=pc_SearchList
inn_8a2qalphwfgj,AI大数据开发工程师,150/天,芯智未来,杭州,互联网/游戏/软件,本科,5天／周,实习3个月,远程实习；不打卡,"岗位职责
1. 负责对底层芯片规格书进行数据清洗与结构化处理，实现关键信息的归一化整合；
2. 将业务专家提供的规则转化为高效的SQL查询语句，参与芯片替代数据库的构建与维护。
岗位要求
1. 具备数据库基础操作能力，熟悉SQL，python语言编写，能独立完成数据提取与处理；
2. 了解大模型基本应用，能够使用AI工具提升工作效率；
3. 对半导体或芯片领域有基本了解者优先；
4. 具有良好的学习能力和团队协作意识。
工作形式：
* 远程办公；
* 杭州本地候选人优先；
* 需定期参加线下周会。", 中文,2025-12-05,浙江省/杭州市/余杭区 未来科技城·海创园,https://www.shixiseng.com/intern/inn_8a2qalphwfgj?pcm=pc_SearchList
